t,tau_jo_kc,tau_jn_kc,tau_jo_ka,tau_jn_ka,A_period_cost,B_period_cost,C_period_cost,A_cum_discounted,B_cum_discounted,C_cum_discounted,A_period_demand,B_period_demand,C_period_demand,A_cum_demand,B_cum_demand,C_cum_demand,B_u,C_u,C_v,B_a_M2_pre,C_a_M2_pre,B_age_M2_pre,C_age_M2_pre,A_cap_M1_pre,A_cap_M2_pre,A_y_M1,A_y_M2,B_cap_M1_pre,B_cap_M2_pre,B_y_M1,B_y_M2,C_cap_M1_pre,C_cap_M2_pre,C_y_M1,C_y_M2
11,1.1,0.2,0.133,0.183,591.7208125923368,539.9912092067631,539.9912092067631,6690.31578848451,8760.936018351596,8760.936018351596,55.18330019671029,57.572034204836854,57.572034204836854,624.2418899175666,643.9676473048407,643.9676473048407,0,0,0,1,1,10,10,70.92,0.0,55.18330019671029,-0.0,70.92,62.57931146698142,18.683269424623095,38.888764780213755,70.92,62.57931146698142,18.683269424623095,38.888764780213755
12,1.1,0.2,0.102,0.15,626.7037160887783,568.8318296494301,568.8318296494301,7291.9793406215595,9307.039975308206,9307.039975308206,58.81734693904069,61.37002157350392,61.37002157350392,683.0592368566073,705.3376688783446,705.3376688783446,0,0,0,1,1,11,11,70.92,0.0,58.81734693904069,-0.0,70.92,64.45738291268499,20.395510628074742,40.97451094542918,70.92,64.45738291268499,20.395510628074742,40.97451094542918
13,1.13,0.23,0.066,0.079,554.6429329596771,503.1063602116552,503.1063602116552,7822.491139832668,9788.257429799492,9788.257429799492,51.8573418041411,54.208092222712935,54.208092222712935,734.9165786607484,759.5457611010576,759.5457611010576,0,0,0,1,1,12,12,70.92,0.0,51.8573418041411,-0.0,70.92,66.00736817634227,17.459197458316275,36.74889476439666,70.92,66.00736817634227,17.459197458316275,36.74889476439666
14,1.15,0.25,0.087,0.125,585.1984350685848,518.4007376172366,518.4007376172366,8380.15801703764,10282.269209673574,10282.269209673574,54.26246784875014,56.70154288439029,56.70154288439029,789.1790465094986,816.2473039854478,816.2473039854478,0,0,0,1,1,13,13,70.92,0.0,54.26246784875014,-0.0,70.92,67.28658166049951,18.40381191585826,38.297730968532036,70.92,67.28658166049951,18.40381191585826,38.297730968532036
15,1.16,0.26,0.138,0.195,618.9415543494611,549.1752541582789,549.1752541582789,8967.798173478152,10803.671319451161,10803.671319451161,56.82887603976094,59.36216143832792,59.36216143832792,846.0079225492595,875.6094654237758,875.6094654237758,0,0,0,1,1,14,14,70.92,0.0,56.82887603976094,-0.0,70.92,68.34232533524164,19.470529551452785,39.89163188687513,70.92,68.34232533524164,19.470529551452785,39.89163188687513
16,1.14,0.24,0.184,0.254,658.0156515861933,583.1250377531182,583.1250377531182,9590.224822610971,11355.257839314632,11355.257839314632,60.334379558294394,63.00706385213122,63.00706385213122,906.3423021075539,938.6165292759069,938.6165292759069,0,0,0,1,1,15,15,70.92,0.0,60.334379558294394,-0.0,70.92,69.21363784137297,20.94305753473028,42.06400631740094,70.92,69.21363784137297,20.94305753473028,42.06400631740094
17,1.17,0.27,0.161,0.183,697.1380030945293,620.2986451992817,620.2986451992817,10247.217975134825,11939.836445855597,11939.836445855597,63.76310482585181,66.6292118786124,66.6292118786124,970.1054069334057,1005.2457411545194,1005.2457411545194,0,0,0,1,1,16,16,70.92,0.0,63.76310482585181,-0.0,70.92,69.93273803728587,22.69453654553264,43.93467533307975,70.92,69.93273803728587,22.69453654553264,43.93467533307975
18,1.15,0.25,0.118,0.253,670.3619014288191,592.8159672606869,592.8159672606869,10876.639425753956,12496.447860179873,12496.447860179873,62.04966481620881,64.70356014677456,64.70356014677456,1032.1550717496145,1069.9493013012939,1069.9493013012939,0,0,0,1,1,17,17,70.92,0.0,62.04966481620881,-0.0,70.92,70.52621636810649,21.855168319493472,42.84839182728109,70.92,70.52621636810649,21.855168319493472,42.84839182728109
19,1.14,0.24,0.07,0.108,630.0218853853252,556.2815178361319,385.614036041194,11465.995795514185,13016.823522552457,12857.171977360076,58.90344733121746,61.57583277936343,61.57583277936343,1091.058519080832,1131.5251340806574,1131.5251340806574,0,0,1,1,1,18,18,70.92,0.0,58.90344733121746,-0.0,70.92,71.01601811083373,20.69951108329478,40.87632169606865,70.92,71.01601811083373,20.69951108329478,40.87632169606865
20,1.16,0.26,0.125,0.155,606.8292160086155,536.5573688981644,567.6155021284442,12031.556149877522,13516.891033616388,13386.185439561817,55.89871002675616,58.47279662454498,60.595208859535035,1146.957229107588,1189.9979307052024,1192.1203429401924,0,0,0,1,1,19,19,70.92,0.0,55.89871002675616,-0.0,70.92,71.42025485330572,19.334106616057763,39.138690008487224,0.0,71.42025485330572,-0.0,60.595208859535035
